สาเหตุหรือสถานที่ที่ติดเชื้อ,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr
สถานบันเทิง,11,13,14,22,25,26,30,44,49,51,56,56,61,66,69,76,84,99,109,120,131,141,143
สนามมวย,0,0,1,10,17,28,41,53,71,103,124,128,133,137,143,148,158,163,165,169,170,171,172
แสวงบุญมาเลเซีย,0,0,0,0,0,0,0,5,11,17,19,19,21,25,26,26,26,27,27,27,28,28,28
บุคลากรการแพทย์,1,1,1,1,1,1,1,1,1,1,1,1,5,7,11,11,13,21,23,26,27,29,34
แสวงบุญอินโดนีเซีย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,30
สัมผัสกับผู้ป่วยที่มีรายงานมาแล้ว,0,0,0,2,8,10,22,34,46,57,94,110,122,136,155,173,194,243,302,349,387,428,467
เดินทางมาจากต่างประเทศ,15,15,17,24,33,42,43,52,56,68,76,80,100,106,112,122,130,152,173,196,204,218,233
สัมผัสผู้ที่เดินทางมาจาก ตปท.,3,6,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14
อาชีพเสี่ยง ,4,4,4,4,10,11,15,19,21,27,34,40,50,55,64,69,76,84,99,108,122,130,143
ไปสถานที่ชุมชน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,10,10
